#List of genes induced by protoplasting, based on probe sets from Birnbaum et al. (2003), Science Vol. 302. no. 5652, pp. 1956 - 1960 (Supplemental table 1, http://www.sciencemag.org/cgi/data/302/5652/1956/DC1/1) and converted to genes using lookup from 2009-07-29.
At1g01360	261056_at
At1g02000	261624_at
At1g02390	259418_at
At1g04180	264323_at
At1g05100	265216_at
At1g05530	263176_at
At1g05560	263184_at
At1g05575	263182_at
At1g07280	261075_at
At1g09950	264661_at
At1g10150	264463_at
At1g10480	263208_at
At1g10810	262789_at
At1g11960	264389_at
At1g12600	259527_at
At1g12610	255937_at
At1g13260	259364_at
At1g14200	262656_at
At1g14370	261526_at
At1g15010	260744_at
At1g15520	261763_at
At1g16850	256114_at
At1g17145	262512_at
At1g17380	261033_at
At1g17420	261037_at
At1g19210	256009_at
At1g19380	260656_at
At1g20310	255884_at
At1g20823	256093_at
At1g21010	262801_at
At1g21340	260925_at
At1g21670	262503_at
At1g21680	262505_at
At1g21910	260856_at
At1g22510	261938_at
At1g22570	261937_at
At1g22810	264202_at
At1g23160	264892_at
At1g23460	265174_s_at
At1g23470	265174_s_at
At1g23710	265184_at
At1g25400	255733_at
At1g27730	261648_at
At1g28330	245668_at
At1g28370	261470_at
At1g28380	261445_at
At1g28480	261443_at
At1g30135	256159_at
At1g30720	263216_s_at
At1g30730	263216_s_at
At1g33280	256535_at
At1g36770	256595_x_at
At1g44318	245245_at
At1g44350	245244_at
At1g48070	260723_at
At1g50460	261851_at
At1g50720	257582_at
At1g53700	259961_at
At1g55240	259653_at
At1g58190	246397_at
At1g59660	262124_at
At1g61340	264758_at
At1g62520	257403_at
At1g63090	259685_at
At1g64470	261947_at
At1g64930	262865_at
At1g66160	256522_at
At1g66400	260135_at
At1g66500	256356_s_at
At1g68450	260261_at
At1g69930	260405_at
At1g70420	264314_at
At1g70740	260206_at
At1g70790	262291_at
At1g72140	259846_at
At1g72520	260399_at
At1g72790	259915_at
At1g73500	245731_at
At1g73530	245778_at
At1g73540	245777_at
At1g74010	260386_at
At1g74930	262211_at
At1g75590	262981_at
At1g76070	261748_at
At1g76590	259977_at
At1g76640	259866_at
At1g76650	259879_at
At1g77640	259729_at
At1g78070	262164_at
At1g78210	260051_at
At1g78390	260797_at
At1g79360	264124_at
At1g80110	262061_at
At1g80440	260287_at
At1g80840	261892_at
At2g01300	265732_at
At2g01670	265872_at
At2g05940	266037_at
At2g07722	266014_s_at
At2g07777	257318_at
At2g13910	251045_s_at
At2g14960	266611_at
At2g15480	265499_at
At2g15830	265539_at
At2g18210	265327_at
At2g18700	266072_at
At2g19660	266688_at
At2g20625	263742_at
At2g20670	265387_at
At2g21510	263754_at
At2g21610	263543_at
At2g22760	266455_at
At2g22860	266799_at
At2g22880	266800_at
At2g23960	266561_at
At2g24400	265683_at
At2g24850	263539_at
At2g25300	263639_at
At2g25460	265618_at
At2g26390	245034_at
At2g26400	245035_at
At2g26530	245041_at
At2g26710	267614_at
At2g27080	266316_at
At2g27310	265620_at
At2g27500	265648_at
At2g28460	265279_at
At2g29450	266299_at
At2g29480	266269_at
At2g29670	266617_at
At2g30020	266834_s_at
At2g30040	266832_at
At2g31940	263465_at
At2g31945	263475_at
At2g32020	265668_at
At2g32190	265670_s_at
At2g32210	265670_s_at
At2g33580	255844_at
At2g33710	267451_at
At2g34340	267003_at
At2g34650	266908_at
At2g34830	267427_at
At2g36220	263931_at
At2g37430	266010_at
At2g37700	267164_at
At2g38240	267147_at
At2g38790	266396_at
At2g39650	267623_at
At2g39705	267591_at
At2g40270	263804_at
At2g40470	255823_at
At2g40750	257382_at
At2g41010	267069_at
At2g41100	267083_at
At2g41250	266363_at
At2g41640	245119_at
At2g43500	260540_at
At2g43870	260608_at
At2g43890	267228_at
At2g44840	266821_at
At2g46400	263783_at
At2g46410	263775_at
At2g46510	265452_at
At2g47260	260528_at
At2g47550	245151_at
At2g47770	266462_at
At2g47950	266486_at
At3g01510	259188_at
At3g01840	259004_at
At3g02480	258498_at
At3g02840	258606_at
At3g04060	258813_at
At3g04640	258792_at
At3g05980	258562_at
At3g07000	258541_at
At3g08720	258682_at
At3g09280	259027_at
At3g09480	258707_at
At3g09830	258650_at
At3g10020	258939_at
At3g10300	259137_at
At3g10930	256442_at
At3g11020	256430_at
At3g12510	256285_at
At3g14200	256999_at
At3g14440	257280_at
At3g15540	258399_at
At3g15670	258224_at
At3g15760	258275_at
At3g17250	258440_at
At3g18690	257751_at
At3g19970	256627_at
At3g20160	257117_at
At3g20300	257672_at
At3g22740	258322_at
At3g22830	258325_at
At3g22910	256833_at
At3g23170	257925_at
At3g23410	258299_at
At3g24500	258133_at
At3g24750	257595_at
At3g25655	256762_at
At3g25730	257643_at
At3g27140	266834_s_at
At3g28210	256576_at
At3g28530	256595_x_at
At3g28910	257140_at
At3g44860	246340_s_at
At3g44870	246340_s_at
At3g45530	252582_at
At3g46640	252475_s_at
At3g47080	252467_at
At3g47340	252415_at
At3g47780	252383_at
At3g48360	252367_at
At3g48510	252321_at
At3g48520	252368_at
At3g50060	252193_at
At3g50260	252214_at
At3g50930	252131_at
At3g51600	252115_at
At3g51660	252076_at
At3g53600	251950_at
At3g55720	251751_at
At3g55740	251752_at
At3g55970	251770_at
At3g55980	251745_at
At3g56400	251705_at
At3g56710	246293_at
At3g59480	251491_at
At3g59710	251480_at
At3g60220	251412_at
At3g61190	251336_at
At3g61890	251272_at
At3g62260	251259_at
At4g00460	255757_at
At4g01090	255605_at
At4g01250	255568_at
At4g01750	255564_s_at
At4g01770	255564_s_at
At4g08260	266834_s_at
At4g10500	254975_at
At4g11280	254926_at
At4g11780	254888_at
At4g13250	254764_at
At4g14680	245254_at
At4g14980	245586_at
At4g15300	245547_at
At4g15530	245528_at
At4g17490	245250_at
At4g17500	245252_at
At4g18160	254651_at
At4g18280	254667_at
At4g20000	254524_at
At4g21903	254389_s_at
At4g21910	254389_s_at
At4g23060	254293_at
At4g24340	254163_s_at
At4g24350	254150_at 254163_s_at
At4g24570	254120_at
At4g25470	254075_at
At4g26700	253956_at
At4g27654	253832_at
At4g28400	253780_at
At4g28720	253794_at
At4g29190	253722_at
At4g29740	253696_at
At4g29780	253643_at
At4g31800	253485_at
At4g33920	253323_at
At4g33930	253316_s_at
At4g33985	253292_at
At4g34300	253316_s_at
At4g34410	253259_at
At4g34970	253217_at
At4g35480	253140_at
At4g35985	253113_at
At4g36110	253103_at
At4g36880	246250_at
At4g37240	246200_at
At4g37430	253101_at
At4g37610	253061_at
At4g37710	253060_at
At4g37770	253066_at
At4g37850	253070_at
At4g38620	252958_at
At5g02220	251035_at
At5g02350	251044_at
At5g02360	251045_s_at
At5g04250	245699_at
At5g04340	245711_at
At5g04760	250858_at
At5g05220	250826_at
At5g05410	250781_at
At5g06760	250648_at
At5g07010	250662_at
At5g10695	246018_at
At5g11070	245906_at
At5g11650	250335_at
At5g13200	250279_at
At5g13220	250292_at
At5g14700	250149_at
At5g14730	246584_at
At5g15160	250155_at
At5g16230	246498_at
At5g17350	250098_at
At5g17650	246440_at
At5g17850	250053_at
At5g18270	250024_at
At5g18470	249983_at
At5g18490	249987_at
At5g20230	246099_at
At5g22570	249890_at
At5g23130	249872_at
At5g24600	249747_at
At5g26340	246831_at
At5g35580	249705_at
At5g36250	246622_at
At5g39050	249494_at
At5g40880	249319_s_at
At5g42650	249208_at
At5g43030	249185_at
At5g43620	256356_s_at
At5g43890	249094_at
At5g44770	249018_at
At5g44820	249021_at 254521_at
At5g45340	248964_at
At5g45810	248909_at
At5g47220	248794_at
At5g49200	249319_s_at
At5g49448	248606_at
At5g49450	248606_at
At5g49520	248611_at
At5g50450	248502_at
At5g50570	248524_s_at
At5g50670	248524_s_at
At5g51260	248440_at
At5g51460	248404_at
At5g51470	248431_at
At5g52020	248400_at
At5g52660	248328_at
At5g54470	248160_at
At5g54490	248164_at
At5g55090	248090_at
At5g57510	247913_at
At5g57560	247925_at
At5g57710	247874_at
At5g58560	247801_at
At5g58670	247794_at
At5g59570	252475_s_at
At5g62520	247431_at
At5g63130	247393_at
At5g63320	247368_at 247370_at
At5g64660	247240_at
At5g64870	247208_at
At5g65300	247177_at
At5g66650	247047_at
At5g67080	247026_at
AtCg00210	245000_at
AtCg00360	245008_at
AtCg00570	244963_at
AtCg00660	244970_at
AtCg01080	244934_at
AtCg01100	244936_at
AtMg00010	244941_at
AtMg00170	266014_s_at
AtMg00620	266014_s_at
AtMg00690	244906_at
AtMg01090	257318_at
