UNIQID	NAME	1a/SEED_CTRL: RIKEN-YAMAUCHI1A, RIKEN-YAMAUCHI1B [ATGE_SEED_170]	1b/SEED_CTRL: RIKEN-YAMAUCHI2A, RIKEN-YAMAUCHI2B [ATGE_SEED_170]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_170]	6a/SEED_CTRL: RIKEN-NAKABAYASHI1A, RIKEN-NAKABAYASHI1B [ATGE_SEED_183]	6b/SEED_CTRL: RIKEN-NAKABAYASHI2A, RIKEN-NAKABAYASHI2B [ATGE_SEED_183]	6c/SEED_CTRL: RIKEN-NAKABAYASHI3A, RIKEN-NAKABAYASHI5B [ATGE_SEED_183]	6d/SEED_CTRL: RIKEN-NAKABAYASHI4A, RIKEN-NAKABAYASHI4B [ATGE_SEED_183]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_183]	3a/SEED_CTRL: RIKEN-LI1A, RIKEN-LI1B [ATGE_SEED_184]	3b/SEED_CTRL: RIKEN-LI2A, RIKEN-LI2B [ATGE_SEED_184]	3c/SEED_CTRL: RIKEN-LI3A, RIKEN-LI3B [ATGE_SEED_184]	3d/SEED_CTRL: RIKEN-LI4A, RIKEN-LI4B [ATGE_SEED_184]	3e/SEED_CTRL: RIKEN-LI5A, RIKEN-LI5B [ATGE_SEED_184]	3f/SEED_CTRL: RIKEN-LI6A, RIKEN-LI6B [ATGE_SEED_184]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_184]	2a/SEED_CTRL: RIKEN-PRESTON0A, RIKEN-PRESTON0B [ATGE_SEED_195]	2b/SEED_CTRL: RIKEN-PRESTON1A, RIKEN-PRESTON1B [ATGE_SEED_195]	2c/SEED_CTRL: RIKEN-PRESTON2A, RIKEN-PRESTON2B [ATGE_SEED_195]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_195]	10a/SEED_CTRL: 6hr_rep1, 6hr_rep2 [ATGE_SEED_196]	10b/SEED_CTRL: 12hr_rep1, 12hr_rep2 [ATGE_SEED_196]	10c/SEED_CTRL: 24hr_rep1, 24hr_rep2 [ATGE_SEED_196]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_196]	4a/SEED_CTRL: Penfield_1-1_endosperm-control_Rep1_ATH1, Penfield_1-2_endosperm-control_Rep2_ATH1, Penfield_1-3_endosperm-control_Rep3_ATH1 [ATGE_SEED_386]	4b/SEED_CTRL: Penfield_1-4_endosperm-ABA_Rep1_ATH1, Penfield_1-5_endosperm-ABA_Rep2_ATH1, Penfield_1-6_endosperm-ABA_Rep3_ATH1 [ATGE_SEED_386]	4c/SEED_CTRL: Penfield_1-7_endosperm-PAC_Rep1_ATH1, Penfield_1-8_endosperm-PAC_Rep2_ATH1, Penfield_1-9_endosperm-PAC_Rep3_ATH1 [ATGE_SEED_386]	4d/SEED_CTRL: Penfield_1-10_embryo-control_Rep1_ATH1, Penfield_1-11_embryo-control_Rep2_ATH1, Penfield_1-12_embryo-control_Rep3_ATH1 [ATGE_SEED_386]	4e/SEED_CTRL: Penfield_1-13_embryo-ABA_Rep1_ATH1, Penfield_1-14_embryo-ABA_Rep2_ATH1, Penfield_1-15_embryo-ABA_Rep3_ATH1 [ATGE_SEED_386]	4f/SEED_CTRL: Penfield_1-16_embryo-PAC_Rep1_ATH1, Penfield_1-17_embryo-PAC_Rep2_ATH1, Penfield_1-18_embryo-PAC_Rep3_ATH1 [ATGE_SEED_386]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_386]	8a/SEED_CTRL: Carrera Begua_1-1_lar_Rep1_ATH1, Carrera Begua_1-2_lar_Rep2_ATH1, Carrera Begua_1-3_lar_Rep3_ATH1 [ATGE_SEED_61]	8b/SEED_CTRL: Carrera Begua_1-4_ido_Rep1_ATH1, Carrera Begua_1-5_ido_Rep2_ATH1, Carrera Begua_1-6_ido_Rep3_ATH1 [ATGE_SEED_61]	8c/SEED_CTRL: Carrera Begua_1-7_aba_Rep1_ATH1, Carrera Begua_1-8_aba_Rep2_ATH1, Carrera Begua_1-9_aba_Rep3_ATH1 [ATGE_SEED_61]	8d/SEED_CTRL: Carrera Begua_1-10_abi1_Rep1_ATH1, Carrera Begua_1-11_abi1_Rep2_ATH1, Carrera Begua_1-12_abi1-Rep3_ATH1 [ATGE_SEED_61]	8e/SEED_CTRL: Carrera Begua_1-13_abi3_Rep1_ATH1, Carrera Begua_1-14_abi3_Rep2_ATH1, Carrera Begua_1-15_abi3_Rep3_ATH1 [ATGE_SEED_61]	8f/SEED_CTRL: Carrera Begua_1-16_fus_Rep1_ATH1, Carrera Begua_1-17_fus_Rep2_ATH1, Carrera Begua_1-18_fus_Rep3_ATH1 [ATGE_SEED_61]	8g/SEED_CTRL: Carrera Begua_1-19_rdo_Rep1_ATH1, Carrera Begua_1-20_rdo_Rep2_ATH1, Carrera Begua_1-21_rdo_Rep3_ATH1 [ATGE_SEED_61]	8h/SEED_CTRL: Carrera Begua_1-22_CVI-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-23_CVI-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-24_CVI-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8i/SEED_CTRL: Carrera Begua_1-25_CVI-24hr-ripening_Rep1_ATH1, Carrera Begua_1-26_CVI-24hr-ripening_Rep2_ATH1, Carrera Begua_1-27_CVI-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8j/SEED_CTRL: Carrera Begua_1-28_CVI-20hr-ripening_Rep1_ATH1, Carrera Begua_1-29_CVI-20hr-ripening_Rep2_ATH1, Carrera Begua_1-30_CVI-20hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8k/SEED_CTRL: Carrera Begua_1-31_cts1-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-32_cts1-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-33_cts1-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8l/SEED_CTRL: Carrera Begua_1-34_cts1-24hr-ripening_Rep1_ATH1, Carrera Begua_1-35_cts1-24hr-ripening_Rep2_ATH1, Carrera Begua_1-36_cts1-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_61]	5a/SEED_CTRL: Finch-Savage_1-1_PD24h_Rep1_ATH1, Finch-Savage_1-2_PD24h_Rep2_ATH1, Finch-Savage_1-3_PD24h_Rep3_ATH1, Finch-Savage_1-4_PD24h_Rep4_ATH1 [ATGE_SEED_69]	5b/SEED_CTRL: Finch-Savage_1-10_SD1_Rep2_ATH1, Finch-Savage_1-11_SD1_Rep3_ATH1, Finch-Savage_1-12_SD1_Rep4_ATH1, Finch-Savage_1-9_SD1_Rep1_ATH1 [ATGE_SEED_69]	5c/SEED_CTRL: Finch-Savage_1-13_PD48h_Rep1_ATH1, Finch-Savage_1-14_PD48h_Rep2_ATH1, Finch-Savage_1-15_PD48h_Rep3_ATH1, Finch-Savage_1-16_PD48h_Rep4_ATH1 [ATGE_SEED_69]	5d/SEED_CTRL: Finch-Savage_1-17_PD30d_Rep1_ATH1, Finch-Savage_1-18_PD30d_Rep2_ATH1, Finch-Savage_1-19_PD30d_Rep3_ATH1, Finch-Savage_1-20_PD30d_Rep4_ATH1 [ATGE_SEED_69]	5e/SEED_CTRL: Finch-Savage_1-21_SD2_Rep1_ATH1, Finch-Savage_1-22_SD2_Rep2_ATH1, Finch-Savage_1-23_SD2_Rep3_ATH1, Finch-Savage_1-24_SD2_Rep4_ATH1 [ATGE_SEED_69]	5f/SEED_CTRL: Finch-Savage_1-25_LIG_Rep1_ATH1, Finch-Savage_1-26_LIG_Rep2_ATH1, Finch-Savage_1-27_LIG_Rep3_ATH1, Finch-Savage_1-28_LIG_Rep4_ATH1 [ATGE_SEED_69]	5g/SEED_CTRL: Finch-Savage_1-29_PDD_Rep1_ATH1, Finch-Savage_1-30_PDD_Rep2_ATH1, Finch-Savage_1-31_PDD_Rep3_ATH1, Finch-Savage_1-32_PDD_Rep4_ATH1 [ATGE_SEED_69]	5h/SEED_CTRL: Finch-Savage_1-33_NDD_Rep1_ATH1, Finch-Savage_1-34_NDD_Rep2_ATH1, Finch-Savage_1-35_NDD_Rep3_ATH1, Finch-Savage_1-36_NDD_Rep4_ATH1 [ATGE_SEED_69]	5i/SEED_CTRL: Finch-Savage_1-37_PDL_Rep1_ATH1, Finch-Savage_1-38_PDL_Rep2_ATH1, Finch-Savage_1-39_PDL_Rep3_ATH1, Finch-Savage_1-40_PDL_Rep4_ATH1 [ATGE_SEED_69]	5j/SEED_CTRL: Finch-Savage_1-41_PDN_Rep1_ATH1, Finch-Savage_1-42_PDN_Rep2_ATH1, Finch-Savage_1-43_PDN_Rep3_ATH1, Finch-Savage_1-44_PDN_Rep4_ATH1 [ATGE_SEED_69]	5k/SEED_CTRL: Finch-Savage_1-45_PDLN_Rep1_ATH1, Finch-Savage_1-46_PDLN_Rep2_ATH1, Finch-Savage_1-47_PDLN_Rep3_ATH1, Finch-Savage_1-48_PDLN_Rep4_ATH1 [ATGE_SEED_69]	5l/SEED_CTRL: Finch-Savage_1-49_PDC_Rep1_ATH1, Finch-Savage_1-50_PDC_Rep2_ATH1, Finch-Savage_1-51_PDC_Rep3_ATH1, Finch-Savage_1-52_PDC_Rep4_ATH1 [ATGE_SEED_69]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_69]	7a/SEED_CTRL: bot0142, bot0314, bot0394 [ATGE_SEED_7]	7b/SEED_CTRL: bot0143, bot0315, bot0395 [ATGE_SEED_7]	7c/SEED_CTRL: bot0246, bot0247 [ATGE_SEED_7]	7d/SEED_CTRL: bot0256, bot0257 [ATGE_SEED_7]	7e/SEED_CTRL: bot0293, bot0294 [ATGE_SEED_7]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_7]
At1g21970	260854_at| LEC1_EMB212_EMB 212__LEC1 (LEAFY COTYLEDON 1); transcription factor|	1.75	2.53	1.00	0.32	0.43	0.28	0.15	1.00	0.69	1.73	1.57	0.21	0.41	0.28	1.00	2.01	0.59	1.35	1.00	0.61	0.42	0.43	1.00	0.20	0.53	0.92	0.23	0.68	0.54	1.00	0.38	1.46	1.44	1.42	0.28	0.43	2.59	1.56	1.10	0.54	3.42	0.39	1.00	2.71	2.09	2.38	1.84	2.86	0.94	1.60	2.59	1.17	1.38	1.09	2.78	1.00	0.44	0.11	0.17	0.10	0.44	1.00
At1g28300	245669_at| LEC2__LEC2 (LEAFY COTYLEDON 2); transcription factor|	1.37	0.69	1.00	2.14	1.22	1.10	0.68	1.00	3.51	1.81	1.65	1.00	1.86	2.02	1.00	0.74	0.11	0.26	1.00	1.07	0.32	1.22	1.00	1.58	1.02	0.64	0.22	1.17	0.32	1.00	0.37	1.59	0.96	2.34	1.62	0.86	2.73	2.34	0.66	0.40	4.19	0.80	1.00	2.01	1.31	2.31	1.01	1.43	1.39	1.60	0.83	1.60	1.36	2.49	4.60	1.00	0.67	1.22	0.35	0.34	0.32	1.00
At1g48270	262234_at| GCR1__GCR1 (G-PROTEIN-COUPLED RECEPTOR 1)|	1.03	1.57	1.00	0.56	1.54	1.08	1.21	1.00	0.66	0.94	0.89	1.35	1.11	1.28	1.00	0.73	0.49	0.60	1.00	0.60	1.21	1.54	1.00	1.42	1.19	1.25	1.31	1.20	1.15	1.00	1.58	0.59	0.60	0.78	1.05	1.02	0.57	0.89	1.05	1.19	0.56	1.27	1.00	0.99	1.11	1.00	1.17	0.96	1.09	0.35	0.45	0.76	0.91	0.81	0.57	1.00	1.42	1.07	0.93	2.04	1.09	1.00
At1g56600	245627_at| ATGOLS2 (ARABIDOPSIS THALIANA GALACTINOL SYNTHASE 2); transferase, transferring glycosyl groups / transferase, transferring hexosyl groups|	11.27	0.30	1.00	68.33	0.19	0.57	1.54	1.00	1.30	1.36	2.31	1.60	0.42	0.20	1.00	84.25	87.68	17.09	1.00	1.70	0.83	0.19	1.00	0.06	1.41	0.17	0.04	0.90	0.30	1.00	0.07	16.13	11.71	10.30	0.88	3.74	28.66	0.60	0.12	0.11	14.51	0.80	1.00	1.07	2.13	1.63	3.96	2.03	0.09	15.16	18.11	0.97	0.82	0.19	1.19	1.00	0.06	0.36	0.08	0.04	0.05	1.00
At2g47180	263320_at| ATGOLS1 (ARABIDOPSIS THALIANA GALACTINOL SYNTHASE 1); transferase, transferring hexosyl groups|	2.81	0.43	1.00	4.42	0.10	0.17	0.27	1.00	0.30	0.31	0.26	0.33	0.25	0.12	1.00	5.62	6.31	4.77	1.00	1.24	0.43	0.10	1.00	0.11	0.45	0.34	0.04	0.23	0.26	1.00	0.21	3.70	2.34	3.16	2.54	0.82	2.62	4.40	0.96	1.04	4.40	0.61	1.00	2.37	3.15	4.33	4.84	1.32	0.53	2.60	3.69	2.38	1.40	0.49	0.66	1.00	0.02	0.02	0.11	0.01	0.04	1.00
At3g26790	258258_at| FUS3__FUS3 (FUSCA 3); DNA binding / transcription factor|	0.75	0.73	1.00	4.15	0.45	0.65	0.77	1.00	0.53	0.28	0.56	0.49	0.50	0.33	1.00	4.87	3.58	1.38	1.00	1.15	0.95	0.45	1.00	0.30	0.64	0.68	0.19	0.38	0.33	1.00	0.87	2.59	2.42	2.28	1.20	0.85	2.71	2.45	1.21	1.27	3.33	1.00	1.00	1.80	1.15	1.93	0.63	1.37	1.30	1.24	1.48	0.77	1.16	0.77	1.19	1.00	0.25	0.32	0.30	0.27	0.50	1.00
At3g59220	251513_at| PRN_ATPIRIN1_PRN1__PRN (PIRIN); calmodulin binding|	0.82	1.23	1.00	0.72	0.35	0.55	0.35	1.00	0.29	0.22	0.40	0.64	0.45	0.53	1.00	0.66	0.50	0.40	1.00	0.38	0.46	0.35	1.00	1.14	0.42	0.38	2.12	0.66	0.55	1.00	0.76	1.31	1.37	1.23	3.20	3.64	1.68	1.32	1.17	0.58	2.19	0.75	1.00	1.00	1.46	1.46	0.45	2.36	1.19	1.13	2.90	0.87	1.24	2.57	2.65	1.00	0.36	0.50	0.43	0.21	0.68	1.00
At4g03560	255380_at| ATTPC1_ATCCH1_TPC1__ATTPC1 (TWO-PORE CHANNEL 1); calcium channel/ voltage-gated calcium channel|	2.39	0.36	1.00	2.05	0.97	0.95	1.14	1.00	0.78	0.80	0.90	0.75	0.71	0.57	1.00	1.75	1.59	0.92	1.00	0.82	0.68	0.97	1.00	0.61	0.45	0.39	0.28	0.25	0.29	1.00	1.03	1.39	1.15	1.30	1.03	1.03	1.32	1.82	1.18	1.29	1.45	0.78	1.00	1.76	2.66	2.74	3.72	2.70	0.85	1.79	0.94	0.80	1.11	0.46	0.64	1.00	0.87	0.91	0.95	0.77	0.55	1.00
At4g25580	245233_at| stress-responsive protein-related|	1.68	0.12	1.00	3.60	0.08	0.13	0.45	1.00	0.18	0.16	0.18	0.20	0.12	0.07	1.00	4.77	4.66	0.89	1.00	0.52	0.21	0.08	1.00	0.08	0.51	0.15	0.04	0.40	0.26	1.00	0.11	1.67	1.35	1.61	0.38	0.64	2.33	4.06	1.51	1.70	1.71	0.49	1.00	4.04	1.56	4.77	2.64	2.30	0.92	6.82	7.43	2.71	3.26	0.82	2.49	1.00	0.02	0.09	0.07	0.02	0.03	1.00
At4g26740	253930_at| ATS1__ATS1 (ARABIDOPSIS THALIANA SEED GENE 1); calcium ion binding|	0.99	1.40	1.00	1.83	0.08	0.15	0.26	1.00	0.50	0.43	0.26	0.48	0.30	0.13	1.00	2.09	2.13	1.62	1.00	0.87	0.49	0.08	1.00	0.02	0.05	0.02	0.01	0.18	0.09	1.00	0.25	2.01	1.38	1.40	0.06	0.93	2.05	1.72	0.59	0.73	1.46	0.25	1.00	2.29	1.44	1.97	1.27	1.56	0.75	2.29	2.14	2.04	1.99	0.48	2.16	1.00	0.04	0.06	0.08	0.03	0.07	1.00
