UNIQID	NAME	1a/SEED_CTRL: RIKEN-YAMAUCHI1A, RIKEN-YAMAUCHI1B [ATGE_SEED_170]	1b/SEED_CTRL: RIKEN-YAMAUCHI2A, RIKEN-YAMAUCHI2B [ATGE_SEED_170]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_170]	6a/SEED_CTRL: RIKEN-NAKABAYASHI1A, RIKEN-NAKABAYASHI1B [ATGE_SEED_183]	6b/SEED_CTRL: RIKEN-NAKABAYASHI2A, RIKEN-NAKABAYASHI2B [ATGE_SEED_183]	6c/SEED_CTRL: RIKEN-NAKABAYASHI3A, RIKEN-NAKABAYASHI5B [ATGE_SEED_183]	6d/SEED_CTRL: RIKEN-NAKABAYASHI4A, RIKEN-NAKABAYASHI4B [ATGE_SEED_183]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_183]	3a/SEED_CTRL: RIKEN-LI1A, RIKEN-LI1B [ATGE_SEED_184]	3b/SEED_CTRL: RIKEN-LI2A, RIKEN-LI2B [ATGE_SEED_184]	3c/SEED_CTRL: RIKEN-LI3A, RIKEN-LI3B [ATGE_SEED_184]	3d/SEED_CTRL: RIKEN-LI4A, RIKEN-LI4B [ATGE_SEED_184]	3e/SEED_CTRL: RIKEN-LI5A, RIKEN-LI5B [ATGE_SEED_184]	3f/SEED_CTRL: RIKEN-LI6A, RIKEN-LI6B [ATGE_SEED_184]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_184]	2a/SEED_CTRL: RIKEN-PRESTON0A, RIKEN-PRESTON0B [ATGE_SEED_195]	2b/SEED_CTRL: RIKEN-PRESTON1A, RIKEN-PRESTON1B [ATGE_SEED_195]	2c/SEED_CTRL: RIKEN-PRESTON2A, RIKEN-PRESTON2B [ATGE_SEED_195]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_195]	10a/SEED_CTRL: 6hr_rep1, 6hr_rep2 [ATGE_SEED_196]	10b/SEED_CTRL: 12hr_rep1, 12hr_rep2 [ATGE_SEED_196]	10c/SEED_CTRL: 24hr_rep1, 24hr_rep2 [ATGE_SEED_196]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_196]	4a/SEED_CTRL: Penfield_1-1_endosperm-control_Rep1_ATH1, Penfield_1-2_endosperm-control_Rep2_ATH1, Penfield_1-3_endosperm-control_Rep3_ATH1 [ATGE_SEED_386]	4b/SEED_CTRL: Penfield_1-4_endosperm-ABA_Rep1_ATH1, Penfield_1-5_endosperm-ABA_Rep2_ATH1, Penfield_1-6_endosperm-ABA_Rep3_ATH1 [ATGE_SEED_386]	4c/SEED_CTRL: Penfield_1-7_endosperm-PAC_Rep1_ATH1, Penfield_1-8_endosperm-PAC_Rep2_ATH1, Penfield_1-9_endosperm-PAC_Rep3_ATH1 [ATGE_SEED_386]	4d/SEED_CTRL: Penfield_1-10_embryo-control_Rep1_ATH1, Penfield_1-11_embryo-control_Rep2_ATH1, Penfield_1-12_embryo-control_Rep3_ATH1 [ATGE_SEED_386]	4e/SEED_CTRL: Penfield_1-13_embryo-ABA_Rep1_ATH1, Penfield_1-14_embryo-ABA_Rep2_ATH1, Penfield_1-15_embryo-ABA_Rep3_ATH1 [ATGE_SEED_386]	4f/SEED_CTRL: Penfield_1-16_embryo-PAC_Rep1_ATH1, Penfield_1-17_embryo-PAC_Rep2_ATH1, Penfield_1-18_embryo-PAC_Rep3_ATH1 [ATGE_SEED_386]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_386]	8a/SEED_CTRL: Carrera Begua_1-1_lar_Rep1_ATH1, Carrera Begua_1-2_lar_Rep2_ATH1, Carrera Begua_1-3_lar_Rep3_ATH1 [ATGE_SEED_61]	8b/SEED_CTRL: Carrera Begua_1-4_ido_Rep1_ATH1, Carrera Begua_1-5_ido_Rep2_ATH1, Carrera Begua_1-6_ido_Rep3_ATH1 [ATGE_SEED_61]	8c/SEED_CTRL: Carrera Begua_1-7_aba_Rep1_ATH1, Carrera Begua_1-8_aba_Rep2_ATH1, Carrera Begua_1-9_aba_Rep3_ATH1 [ATGE_SEED_61]	8d/SEED_CTRL: Carrera Begua_1-10_abi1_Rep1_ATH1, Carrera Begua_1-11_abi1_Rep2_ATH1, Carrera Begua_1-12_abi1-Rep3_ATH1 [ATGE_SEED_61]	8e/SEED_CTRL: Carrera Begua_1-13_abi3_Rep1_ATH1, Carrera Begua_1-14_abi3_Rep2_ATH1, Carrera Begua_1-15_abi3_Rep3_ATH1 [ATGE_SEED_61]	8f/SEED_CTRL: Carrera Begua_1-16_fus_Rep1_ATH1, Carrera Begua_1-17_fus_Rep2_ATH1, Carrera Begua_1-18_fus_Rep3_ATH1 [ATGE_SEED_61]	8g/SEED_CTRL: Carrera Begua_1-19_rdo_Rep1_ATH1, Carrera Begua_1-20_rdo_Rep2_ATH1, Carrera Begua_1-21_rdo_Rep3_ATH1 [ATGE_SEED_61]	8h/SEED_CTRL: Carrera Begua_1-22_CVI-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-23_CVI-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-24_CVI-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8i/SEED_CTRL: Carrera Begua_1-25_CVI-24hr-ripening_Rep1_ATH1, Carrera Begua_1-26_CVI-24hr-ripening_Rep2_ATH1, Carrera Begua_1-27_CVI-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8j/SEED_CTRL: Carrera Begua_1-28_CVI-20hr-ripening_Rep1_ATH1, Carrera Begua_1-29_CVI-20hr-ripening_Rep2_ATH1, Carrera Begua_1-30_CVI-20hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8k/SEED_CTRL: Carrera Begua_1-31_cts1-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-32_cts1-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-33_cts1-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8l/SEED_CTRL: Carrera Begua_1-34_cts1-24hr-ripening_Rep1_ATH1, Carrera Begua_1-35_cts1-24hr-ripening_Rep2_ATH1, Carrera Begua_1-36_cts1-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_61]	5a/SEED_CTRL: Finch-Savage_1-1_PD24h_Rep1_ATH1, Finch-Savage_1-2_PD24h_Rep2_ATH1, Finch-Savage_1-3_PD24h_Rep3_ATH1, Finch-Savage_1-4_PD24h_Rep4_ATH1 [ATGE_SEED_69]	5b/SEED_CTRL: Finch-Savage_1-10_SD1_Rep2_ATH1, Finch-Savage_1-11_SD1_Rep3_ATH1, Finch-Savage_1-12_SD1_Rep4_ATH1, Finch-Savage_1-9_SD1_Rep1_ATH1 [ATGE_SEED_69]	5c/SEED_CTRL: Finch-Savage_1-13_PD48h_Rep1_ATH1, Finch-Savage_1-14_PD48h_Rep2_ATH1, Finch-Savage_1-15_PD48h_Rep3_ATH1, Finch-Savage_1-16_PD48h_Rep4_ATH1 [ATGE_SEED_69]	5d/SEED_CTRL: Finch-Savage_1-17_PD30d_Rep1_ATH1, Finch-Savage_1-18_PD30d_Rep2_ATH1, Finch-Savage_1-19_PD30d_Rep3_ATH1, Finch-Savage_1-20_PD30d_Rep4_ATH1 [ATGE_SEED_69]	5e/SEED_CTRL: Finch-Savage_1-21_SD2_Rep1_ATH1, Finch-Savage_1-22_SD2_Rep2_ATH1, Finch-Savage_1-23_SD2_Rep3_ATH1, Finch-Savage_1-24_SD2_Rep4_ATH1 [ATGE_SEED_69]	5f/SEED_CTRL: Finch-Savage_1-25_LIG_Rep1_ATH1, Finch-Savage_1-26_LIG_Rep2_ATH1, Finch-Savage_1-27_LIG_Rep3_ATH1, Finch-Savage_1-28_LIG_Rep4_ATH1 [ATGE_SEED_69]	5g/SEED_CTRL: Finch-Savage_1-29_PDD_Rep1_ATH1, Finch-Savage_1-30_PDD_Rep2_ATH1, Finch-Savage_1-31_PDD_Rep3_ATH1, Finch-Savage_1-32_PDD_Rep4_ATH1 [ATGE_SEED_69]	5h/SEED_CTRL: Finch-Savage_1-33_NDD_Rep1_ATH1, Finch-Savage_1-34_NDD_Rep2_ATH1, Finch-Savage_1-35_NDD_Rep3_ATH1, Finch-Savage_1-36_NDD_Rep4_ATH1 [ATGE_SEED_69]	5i/SEED_CTRL: Finch-Savage_1-37_PDL_Rep1_ATH1, Finch-Savage_1-38_PDL_Rep2_ATH1, Finch-Savage_1-39_PDL_Rep3_ATH1, Finch-Savage_1-40_PDL_Rep4_ATH1 [ATGE_SEED_69]	5j/SEED_CTRL: Finch-Savage_1-41_PDN_Rep1_ATH1, Finch-Savage_1-42_PDN_Rep2_ATH1, Finch-Savage_1-43_PDN_Rep3_ATH1, Finch-Savage_1-44_PDN_Rep4_ATH1 [ATGE_SEED_69]	5k/SEED_CTRL: Finch-Savage_1-45_PDLN_Rep1_ATH1, Finch-Savage_1-46_PDLN_Rep2_ATH1, Finch-Savage_1-47_PDLN_Rep3_ATH1, Finch-Savage_1-48_PDLN_Rep4_ATH1 [ATGE_SEED_69]	5l/SEED_CTRL: Finch-Savage_1-49_PDC_Rep1_ATH1, Finch-Savage_1-50_PDC_Rep2_ATH1, Finch-Savage_1-51_PDC_Rep3_ATH1, Finch-Savage_1-52_PDC_Rep4_ATH1 [ATGE_SEED_69]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_69]	7a/SEED_CTRL: bot0142, bot0314, bot0394 [ATGE_SEED_7]	7b/SEED_CTRL: bot0143, bot0315, bot0395 [ATGE_SEED_7]	7c/SEED_CTRL: bot0246, bot0247 [ATGE_SEED_7]	7d/SEED_CTRL: bot0256, bot0257 [ATGE_SEED_7]	7e/SEED_CTRL: bot0293, bot0294 [ATGE_SEED_7]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_7]
At1g09400	264502_at| 12-oxophytodienoate reductase, putative|	2.35	1.86	1.00	0.78	0.83	1.76	0.71	1.00	0.69	0.32	1.54	1.82	0.65	2.01	1.00	0.42	0.28	2.76	1.00	0.87	0.59	0.83	1.00	1.72	1.16	1.32	1.27	0.97	0.34	1.00	0.98	0.85	0.70	0.97	0.76	0.76	0.87	1.75	1.94	0.64	15.38	1.06	1.00	1.14	1.38	3.56	0.82	3.21	1.38	1.93	5.50	1.24	3.87	8.94	3.36	1.00	2.25	0.72	1.58	0.44	0.80	1.00
At1g13280	259366_at| AOC4__AOC4 (ALLENE OXIDE CYCLASE 4)|	3.84	1.79	1.00	0.26	4.34	4.10	3.98	1.00	1.81	2.03	2.01	1.60	1.81	2.15	1.00	0.21	0.17	0.20	1.00	0.86	2.53	4.34	1.00	3.85	3.95	3.77	2.94	0.81	0.59	1.00	3.03	0.81	1.97	1.05	3.80	4.23	0.84	0.31	0.87	1.18	1.15	2.16	1.00	0.40	0.37	0.30	0.29	0.55	0.63	0.14	0.21	0.50	0.38	1.41	0.62	1.00	2.37	3.50	2.06	0.70	1.41	1.00
At1g17420	261037_at| LOX3__LOX3 (Lipoxygenase 3); iron ion binding / lipoxygenase|	0.31	0.44	1.00	1.52	0.67	0.63	0.45	1.00	0.31	2.19	0.94	1.82	0.62	0.33	1.00	2.27	2.90	0.45	1.00	1.83	1.64	0.67	1.00	1.59	1.12	1.12	0.54	1.35	0.83	1.00	0.73	1.44	2.55	1.01	1.44	19.38	1.48	0.89	1.49	0.55	2.21	0.42	1.00	1.53	0.98	0.98	0.88	3.53	2.34	2.89	1.98	0.98	1.73	2.93	4.63	1.00	2.65	0.29	0.53	2.62	0.64	1.00
At1g17990	255895_at| 12-oxophytodienoate reductase|	0.78	0.13	1.00	9.98	0.51	0.39	0.43	1.00	0.19	0.21	0.12	0.17	0.20	0.16	1.00	9.86	8.76	1.65	1.00	0.79	0.29	0.51	1.00	1.11	0.22	0.14	1.50	0.43	0.16	1.00	0.23	1.48	1.72	0.94	0.58	0.62	1.97	3.26	1.14	1.43	1.37	1.28	1.00	3.19	3.12	5.27	4.32	2.24	0.70	14.25	6.59	1.41	1.45	0.57	0.89	1.00	0.34	0.14	0.54	0.78	0.20	1.00
At1g19640	261150_at| JMT__JMT (JASMONIC ACID CARBOXYL METHYLTRANSFERASE); jasmonate O-methyltransferase|	2.51	0.45	1.00	3.45	0.79	0.52	0.23	1.00	0.21	0.35	0.35	0.35	4.22	0.66	1.00	1.25	0.77	1.10	1.00	0.22	0.34	0.79	1.00	0.78	0.59	0.50	0.31	0.50	0.26	1.00	1.46	3.53	2.98	3.41	0.65	1.19	2.75	3.71	1.58	0.70	5.61	0.61	1.00	2.63	3.24	6.35	2.77	4.82	1.04	1.27	3.95	0.61	4.77	5.48	4.77	1.00	0.33	0.34	0.24	0.22	0.85	1.00
At1g55020	256321_at| LOX1__LOX1 (Lipoxygenase 1); lipoxygenase|	4.06	0.58	1.00	3.30	2.22	1.12	1.37	1.00	0.75	0.86	0.81	1.22	0.83	1.11	1.00	3.95	3.25	6.46	1.00	3.54	1.57	2.22	1.00	8.54	1.07	1.75	4.63	1.03	1.07	1.00	0.90	1.56	2.40	1.87	4.83	4.98	2.28	0.99	0.75	0.75	2.03	1.01	1.00	0.93	0.62	0.97	0.56	0.38	0.89	1.14	1.46	0.92	0.68	0.54	0.79	1.00	2.96	1.22	0.72	1.49	1.37	1.00
At1g62810	262667_at| copper amine oxidase, putative|	2.81	0.76	1.00	1.76	1.36	1.50	1.48	1.00	1.93	2.06	1.91	1.49	1.34	1.06	1.00	1.78	1.53	1.00	1.00	1.43	1.62	1.36	1.00	0.42	1.04	1.44	0.39	1.21	1.25	1.00	0.78	2.41	1.32	2.07	0.70	0.71	1.46	0.58	0.39	0.48	2.14	0.60	1.00	0.70	1.73	0.87	2.15	2.15	0.50	0.38	0.43	0.73	0.78	0.69	0.87	1.00	0.87	0.90	0.65	0.46	0.50	1.00
At1g72520	260399_at| lipoxygenase, putative|	2.14	0.26	1.00	0.94	0.34	0.37	0.39	1.00	1.13	0.27	0.29	0.29	0.46	0.18	1.00	1.89	1.25	1.40	1.00	0.85	0.22	0.34	1.00	4.92	0.85	0.65	0.40	0.28	0.27	1.00	0.64	1.03	3.69	1.57	3.90	10.48	1.97	1.92	1.51	0.76	6.72	2.10	1.00	1.70	4.03	1.28	1.07	6.21	0.64	2.85	1.83	1.96	1.47	1.85	1.98	1.00	0.57	0.82	0.63	17.33	0.84	1.00
At1g76690	259875_s_at| OPR2__OPR2 (12-oxophytodienoate reductase 2); 12-oxophytodienoate reductase|	4.15	1.87	1.00	0.63	1.87	0.52	0.48	1.00	0.36	0.50	0.46	2.26	2.84	1.25	1.00	0.92	0.99	2.39	1.00	1.37	0.36	1.87	1.00	6.94	2.30	1.76	1.84	0.64	0.56	1.00	0.93	1.81	2.65	1.76	1.14	2.51	1.40	0.44	0.59	0.60	1.05	1.42	1.00	0.55	0.51	0.55	0.20	1.45	1.15	1.57	1.37	1.39	0.70	1.26	0.28	1.00	5.03	2.50	21.42	14.08	4.12	1.00
At2g06050	265530_at| OPR3_OPDA-REDUCTASE__OPR3 (OPDA-REDUCTASE 3)|	3.98	0.38	1.00	20.61	39.43	32.06	36.93	1.00	0.61	0.93	0.67	0.63	0.56	2.50	1.00	24.39	21.24	26.64	1.00	21.06	26.06	39.43	1.00	1.43	3.95	1.16	2.70	2.23	0.67	1.00	0.88	0.79	0.78	0.79	11.34	28.92	1.33	0.97	0.84	0.50	9.05	1.30	1.00	0.61	0.93	1.28	3.15	6.54	0.78	0.62	1.09	1.57	1.16	1.06	2.08	1.00	41.21	35.21	20.23	23.97	26.08	1.00
At2g42490	265882_at| copper amine oxidase, putative|	0.76	0.36	1.00	1.03	0.93	1.06	1.10	1.00	1.01	1.00	1.06	0.67	0.49	0.46	1.00	1.17	1.03	0.84	1.00	0.73	0.73	0.93	1.00	3.84	1.71	4.15	0.99	0.75	1.03	1.00	1.08	0.91	0.90	1.05	1.01	1.05	0.91	1.22	1.09	1.33	1.49	0.96	1.00	0.97	1.13	0.98	0.98	1.41	0.79	1.08	0.89	1.50	0.94	0.83	0.41	1.00	0.56	0.51	0.44	0.63	0.61	1.00
At2g43670	260611_at| glycosyl hydrolase family protein 17|	0.90	0.76	1.00	0.35	0.44	0.85	0.51	1.00	0.07	0.45	0.49	1.24	0.81	1.10	1.00	0.65	0.62	0.49	1.00	0.52	0.40	0.44	1.00	0.89	0.85	0.82	0.98	1.46	0.95	1.00	1.00	1.37	1.70	0.97	0.91	0.69	1.86	1.27	1.31	1.04	1.85	0.65	1.00	1.44	1.82	0.88	0.55	1.98	0.91	1.18	1.87	1.01	2.12	1.05	2.66	1.00	0.42	0.51	0.45	0.04	0.14	1.00
At3g22400	258445_at| lipoxygenase, putative|	3.40	0.36	1.00	0.27	0.61	0.42	0.40	1.00	1.03	0.57	0.77	0.79	0.60	1.59	1.00	0.71	0.35	0.55	1.00	0.76	0.56	0.61	1.00	0.63	0.75	0.88	0.75	1.05	0.71	1.00	0.27	3.44	3.73	2.40	2.15	1.62	3.77	1.18	0.97	0.32	8.22	0.84	1.00	1.55	0.99	1.23	1.06	3.44	0.53	1.15	2.77	1.00	0.72	2.13	3.61	1.00	3.47	2.63	1.15	3.22	2.94	1.00
At3g25760	257641_s_at| AOC1_ERD12__AOC1 (ALLENE OXIDE CYCLASE 1)|	7.48	4.47	1.00	0.54	2.08	1.68	2.67	1.00	1.37	2.00	2.13	0.28	2.17	0.58	1.00	0.81	1.05	0.22	1.00	0.42	0.45	2.08	1.00	26.44	33.67	12.03	15.17	0.26	1.36	1.00	0.79	0.65	2.42	0.66	61.06	21.29	0.72	0.41	0.96	0.43	5.44	1.53	1.00	0.52	0.77	0.72	1.79	6.18	0.57	1.26	1.96	1.72	1.16	1.18	1.84	1.00	1.25	1.83	0.30	3.69	0.32	1.00
At3g25780	257644_at| AOC2__AOC3 (ALLENE OXIDE CYCLASE 3)|	0.79	0.53	1.00	0.90	0.52	0.25	0.47	1.00	0.59	0.39	0.45	0.54	0.19	0.40	1.00	0.78	0.99	0.76	1.00	0.27	0.24	0.52	1.00	1.26	1.25	0.51	1.49	0.96	0.68	1.00	0.56	1.63	1.65	1.00	4.35	5.19	2.48	0.82	0.70	0.92	0.60	0.24	1.00	2.06	1.69	2.03	0.88	1.78	1.31	1.05	0.69	1.85	3.07	1.98	1.52	1.00	0.89	0.46	0.04	1.88	0.20	1.00
At3g45140	252618_at| LOX2__LOX2 (LIPOXYGENASE 2)|	0.37	1.22	1.00	0.51	0.49	0.47	0.50	1.00	1.11	0.93	1.39	0.30	0.30	0.19	1.00	0.44	0.72	0.51	1.00	0.24	0.18	0.49	1.00	0.84	4.58	0.65	0.43	0.41	0.74	1.00	0.74	2.59	3.81	3.72	40.90	1.28	1.91	1.31	1.36	1.03	1.47	0.96	1.00	1.49	1.13	1.20	0.24	1.36	1.30	0.87	0.46	0.63	0.98	1.05	4.25	1.00	0.56	0.61	0.06	0.16	0.34	1.00
At4g14940	245584_at| ATAO1__ATAO1 (Arabidosis thaliana amine oxidase 1); copper ion binding|	1.32	0.72	1.00	0.60	0.44	0.65	0.52	1.00	0.63	1.12	1.14	0.46	0.73	0.92	1.00	0.57	0.19	0.42	1.00	0.49	0.47	0.44	1.00	0.89	0.89	0.66	0.94	0.89	0.68	1.00	0.77	1.19	0.89	1.03	1.63	1.29	1.32	1.16	1.89	0.68	2.91	1.10	1.00	1.47	1.59	1.85	0.89	1.92	1.31	1.31	1.77	0.65	1.80	1.99	3.12	1.00	0.90	0.47	0.53	0.57	0.11	1.00
