UNIQID	NAME	1a/SEED_CTRL: RIKEN-YAMAUCHI1A, RIKEN-YAMAUCHI1B [ATGE_SEED_170]	1b/SEED_CTRL: RIKEN-YAMAUCHI2A, RIKEN-YAMAUCHI2B [ATGE_SEED_170]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_170]	6a/SEED_CTRL: RIKEN-NAKABAYASHI1A, RIKEN-NAKABAYASHI1B [ATGE_SEED_183]	6b/SEED_CTRL: RIKEN-NAKABAYASHI2A, RIKEN-NAKABAYASHI2B [ATGE_SEED_183]	6c/SEED_CTRL: RIKEN-NAKABAYASHI3A, RIKEN-NAKABAYASHI5B [ATGE_SEED_183]	6d/SEED_CTRL: RIKEN-NAKABAYASHI4A, RIKEN-NAKABAYASHI4B [ATGE_SEED_183]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_183]	3a/SEED_CTRL: RIKEN-LI1A, RIKEN-LI1B [ATGE_SEED_184]	3b/SEED_CTRL: RIKEN-LI2A, RIKEN-LI2B [ATGE_SEED_184]	3c/SEED_CTRL: RIKEN-LI3A, RIKEN-LI3B [ATGE_SEED_184]	3d/SEED_CTRL: RIKEN-LI4A, RIKEN-LI4B [ATGE_SEED_184]	3e/SEED_CTRL: RIKEN-LI5A, RIKEN-LI5B [ATGE_SEED_184]	3f/SEED_CTRL: RIKEN-LI6A, RIKEN-LI6B [ATGE_SEED_184]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_184]	2a/SEED_CTRL: RIKEN-PRESTON0A, RIKEN-PRESTON0B [ATGE_SEED_195]	2b/SEED_CTRL: RIKEN-PRESTON1A, RIKEN-PRESTON1B [ATGE_SEED_195]	2c/SEED_CTRL: RIKEN-PRESTON2A, RIKEN-PRESTON2B [ATGE_SEED_195]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_195]	10a/SEED_CTRL: 6hr_rep1, 6hr_rep2 [ATGE_SEED_196]	10b/SEED_CTRL: 12hr_rep1, 12hr_rep2 [ATGE_SEED_196]	10c/SEED_CTRL: 24hr_rep1, 24hr_rep2 [ATGE_SEED_196]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_196]	4a/SEED_CTRL: Penfield_1-1_endosperm-control_Rep1_ATH1, Penfield_1-2_endosperm-control_Rep2_ATH1, Penfield_1-3_endosperm-control_Rep3_ATH1 [ATGE_SEED_386]	4b/SEED_CTRL: Penfield_1-4_endosperm-ABA_Rep1_ATH1, Penfield_1-5_endosperm-ABA_Rep2_ATH1, Penfield_1-6_endosperm-ABA_Rep3_ATH1 [ATGE_SEED_386]	4c/SEED_CTRL: Penfield_1-7_endosperm-PAC_Rep1_ATH1, Penfield_1-8_endosperm-PAC_Rep2_ATH1, Penfield_1-9_endosperm-PAC_Rep3_ATH1 [ATGE_SEED_386]	4d/SEED_CTRL: Penfield_1-10_embryo-control_Rep1_ATH1, Penfield_1-11_embryo-control_Rep2_ATH1, Penfield_1-12_embryo-control_Rep3_ATH1 [ATGE_SEED_386]	4e/SEED_CTRL: Penfield_1-13_embryo-ABA_Rep1_ATH1, Penfield_1-14_embryo-ABA_Rep2_ATH1, Penfield_1-15_embryo-ABA_Rep3_ATH1 [ATGE_SEED_386]	4f/SEED_CTRL: Penfield_1-16_embryo-PAC_Rep1_ATH1, Penfield_1-17_embryo-PAC_Rep2_ATH1, Penfield_1-18_embryo-PAC_Rep3_ATH1 [ATGE_SEED_386]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_386]	8a/SEED_CTRL: Carrera Begua_1-1_lar_Rep1_ATH1, Carrera Begua_1-2_lar_Rep2_ATH1, Carrera Begua_1-3_lar_Rep3_ATH1 [ATGE_SEED_61]	8b/SEED_CTRL: Carrera Begua_1-4_ido_Rep1_ATH1, Carrera Begua_1-5_ido_Rep2_ATH1, Carrera Begua_1-6_ido_Rep3_ATH1 [ATGE_SEED_61]	8c/SEED_CTRL: Carrera Begua_1-7_aba_Rep1_ATH1, Carrera Begua_1-8_aba_Rep2_ATH1, Carrera Begua_1-9_aba_Rep3_ATH1 [ATGE_SEED_61]	8d/SEED_CTRL: Carrera Begua_1-10_abi1_Rep1_ATH1, Carrera Begua_1-11_abi1_Rep2_ATH1, Carrera Begua_1-12_abi1-Rep3_ATH1 [ATGE_SEED_61]	8e/SEED_CTRL: Carrera Begua_1-13_abi3_Rep1_ATH1, Carrera Begua_1-14_abi3_Rep2_ATH1, Carrera Begua_1-15_abi3_Rep3_ATH1 [ATGE_SEED_61]	8f/SEED_CTRL: Carrera Begua_1-16_fus_Rep1_ATH1, Carrera Begua_1-17_fus_Rep2_ATH1, Carrera Begua_1-18_fus_Rep3_ATH1 [ATGE_SEED_61]	8g/SEED_CTRL: Carrera Begua_1-19_rdo_Rep1_ATH1, Carrera Begua_1-20_rdo_Rep2_ATH1, Carrera Begua_1-21_rdo_Rep3_ATH1 [ATGE_SEED_61]	8h/SEED_CTRL: Carrera Begua_1-22_CVI-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-23_CVI-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-24_CVI-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8i/SEED_CTRL: Carrera Begua_1-25_CVI-24hr-ripening_Rep1_ATH1, Carrera Begua_1-26_CVI-24hr-ripening_Rep2_ATH1, Carrera Begua_1-27_CVI-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8j/SEED_CTRL: Carrera Begua_1-28_CVI-20hr-ripening_Rep1_ATH1, Carrera Begua_1-29_CVI-20hr-ripening_Rep2_ATH1, Carrera Begua_1-30_CVI-20hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8k/SEED_CTRL: Carrera Begua_1-31_cts1-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-32_cts1-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-33_cts1-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8l/SEED_CTRL: Carrera Begua_1-34_cts1-24hr-ripening_Rep1_ATH1, Carrera Begua_1-35_cts1-24hr-ripening_Rep2_ATH1, Carrera Begua_1-36_cts1-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_61]	5a/SEED_CTRL: Finch-Savage_1-1_PD24h_Rep1_ATH1, Finch-Savage_1-2_PD24h_Rep2_ATH1, Finch-Savage_1-3_PD24h_Rep3_ATH1, Finch-Savage_1-4_PD24h_Rep4_ATH1 [ATGE_SEED_69]	5b/SEED_CTRL: Finch-Savage_1-10_SD1_Rep2_ATH1, Finch-Savage_1-11_SD1_Rep3_ATH1, Finch-Savage_1-12_SD1_Rep4_ATH1, Finch-Savage_1-9_SD1_Rep1_ATH1 [ATGE_SEED_69]	5c/SEED_CTRL: Finch-Savage_1-13_PD48h_Rep1_ATH1, Finch-Savage_1-14_PD48h_Rep2_ATH1, Finch-Savage_1-15_PD48h_Rep3_ATH1, Finch-Savage_1-16_PD48h_Rep4_ATH1 [ATGE_SEED_69]	5d/SEED_CTRL: Finch-Savage_1-17_PD30d_Rep1_ATH1, Finch-Savage_1-18_PD30d_Rep2_ATH1, Finch-Savage_1-19_PD30d_Rep3_ATH1, Finch-Savage_1-20_PD30d_Rep4_ATH1 [ATGE_SEED_69]	5e/SEED_CTRL: Finch-Savage_1-21_SD2_Rep1_ATH1, Finch-Savage_1-22_SD2_Rep2_ATH1, Finch-Savage_1-23_SD2_Rep3_ATH1, Finch-Savage_1-24_SD2_Rep4_ATH1 [ATGE_SEED_69]	5f/SEED_CTRL: Finch-Savage_1-25_LIG_Rep1_ATH1, Finch-Savage_1-26_LIG_Rep2_ATH1, Finch-Savage_1-27_LIG_Rep3_ATH1, Finch-Savage_1-28_LIG_Rep4_ATH1 [ATGE_SEED_69]	5g/SEED_CTRL: Finch-Savage_1-29_PDD_Rep1_ATH1, Finch-Savage_1-30_PDD_Rep2_ATH1, Finch-Savage_1-31_PDD_Rep3_ATH1, Finch-Savage_1-32_PDD_Rep4_ATH1 [ATGE_SEED_69]	5h/SEED_CTRL: Finch-Savage_1-33_NDD_Rep1_ATH1, Finch-Savage_1-34_NDD_Rep2_ATH1, Finch-Savage_1-35_NDD_Rep3_ATH1, Finch-Savage_1-36_NDD_Rep4_ATH1 [ATGE_SEED_69]	5i/SEED_CTRL: Finch-Savage_1-37_PDL_Rep1_ATH1, Finch-Savage_1-38_PDL_Rep2_ATH1, Finch-Savage_1-39_PDL_Rep3_ATH1, Finch-Savage_1-40_PDL_Rep4_ATH1 [ATGE_SEED_69]	5j/SEED_CTRL: Finch-Savage_1-41_PDN_Rep1_ATH1, Finch-Savage_1-42_PDN_Rep2_ATH1, Finch-Savage_1-43_PDN_Rep3_ATH1, Finch-Savage_1-44_PDN_Rep4_ATH1 [ATGE_SEED_69]	5k/SEED_CTRL: Finch-Savage_1-45_PDLN_Rep1_ATH1, Finch-Savage_1-46_PDLN_Rep2_ATH1, Finch-Savage_1-47_PDLN_Rep3_ATH1, Finch-Savage_1-48_PDLN_Rep4_ATH1 [ATGE_SEED_69]	5l/SEED_CTRL: Finch-Savage_1-49_PDC_Rep1_ATH1, Finch-Savage_1-50_PDC_Rep2_ATH1, Finch-Savage_1-51_PDC_Rep3_ATH1, Finch-Savage_1-52_PDC_Rep4_ATH1 [ATGE_SEED_69]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_69]	7a/SEED_CTRL: bot0142, bot0314, bot0394 [ATGE_SEED_7]	7b/SEED_CTRL: bot0143, bot0315, bot0395 [ATGE_SEED_7]	7c/SEED_CTRL: bot0246, bot0247 [ATGE_SEED_7]	7d/SEED_CTRL: bot0256, bot0257 [ATGE_SEED_7]	7e/SEED_CTRL: bot0293, bot0294 [ATGE_SEED_7]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_7]
At1g03880	265095_at| CRU2_CRB__CRU2 (CRUCIFERIN 2); nutrient reservoir|	0.94	1.17	1.00	0.54	0.13	0.19	0.23	1.00	0.99	1.15	0.80	0.93	0.89	0.49	1.00	2.00	2.15	1.68	1.00	0.33	0.46	0.13	1.00	0.02	0.04	0.05	0.00	0.29	0.28	1.00	0.61	1.87	1.79	1.44	0.70	0.98	2.45	2.33	1.06	1.14	3.07	0.66	1.00	2.19	0.18	2.18	0.34	0.10	1.13	2.85	4.66	2.95	2.95	1.45	4.43	1.00	0.03	0.03	0.08	0.02	0.05	1.00
At2g40170	263385_at| ATEM6_GEA6__ATEM6 (ARABIDOPSIS EARLY METHIONINE-LABELLED 6)|	0.72	0.23	1.00	0.73	0.03	0.09	0.22	1.00	0.44	0.31	0.29	0.26	0.23	0.11	1.00	1.49	1.86	0.81	1.00	0.24	0.11	0.03	1.00	0.07	1.10	0.25	0.02	1.73	0.96	1.00	0.19	1.51	1.21	0.99	0.06	0.19	1.67	1.69	0.96	1.03	1.06	0.37	1.00	1.76	1.67	1.91	2.06	1.38	0.58	2.73	3.84	2.46	2.50	0.76	1.85	1.00	0.02	0.16	0.17	0.04	0.09	1.00
At2g41070	267075_at| EEL_ATBZIP12_DPBF4__EEL (ENHANCED EM LEVEL); DNA binding / transcription factor|	3.20	0.15	1.00	2.13	0.15	0.23	0.35	1.00	0.40	0.50	0.55	0.30	0.32	0.20	1.00	1.89	1.76	0.31	1.00	0.23	0.17	0.15	1.00	0.09	0.29	0.19	0.17	0.62	0.57	1.00	0.21	1.36	0.95	1.15	0.33	2.06	1.25	3.52	1.20	1.47	1.20	0.37	1.00	2.89	4.38	5.33	4.94	3.14	0.83	2.57	2.00	1.89	2.48	0.68	1.27	1.00	0.08	0.15	0.24	0.08	0.09	1.00
At2g41260	266393_at| M17__M17|	0.97	0.28	1.00	0.77	0.10	0.14	0.23	1.00	0.95	0.98	0.90	0.74	0.68	0.43	1.00	1.13	1.22	0.83	1.00	0.46	0.26	0.10	1.00	0.10	0.65	0.49	0.00	1.81	1.39	1.00	0.37	1.32	0.77	1.03	0.03	0.08	0.77	1.93	0.83	1.01	2.93	0.91	1.00	2.22	2.28	2.62	2.54	1.75	0.79	2.52	2.69	2.95	3.28	1.10	2.40	1.00	0.02	0.02	0.11	0.04	0.08	1.00
At3g22500	256938_at| ATECP31__ATECP31 (late embryogenesis abundant protein ECP31)|	1.80	0.19	1.00	1.88	0.11	0.20	0.39	1.00	0.66	0.64	0.53	0.61	0.45	0.11	1.00	4.26	4.75	2.51	1.00	0.62	0.42	0.11	1.00	0.00	0.03	0.01	0.00	0.08	0.03	1.00	0.11	2.53	1.51	1.65	0.08	0.17	2.67	2.58	0.55	0.79	3.34	0.46	1.00	2.86	3.11	3.46	4.29	2.70	0.59	4.11	4.53	2.30	1.71	0.35	1.69	1.00	0.01	0.02	0.09	0.01	0.04	1.00
At3g51810	246299_at| ATEM1_AT3_EM1_GEA1__ATEM1 (Early methionine labelled)|	1.50	0.08	1.00	1.43	0.10	0.22	0.43	1.00	0.92	0.80	0.90	0.77	0.64	0.36	1.00	1.86	2.26	1.18	1.00	0.40	0.23	0.10	1.00	0.03	0.37	0.16	0.02	0.85	0.49	1.00	0.16	1.64	1.31	1.19	0.06	0.74	2.07	2.47	0.92	1.27	1.29	0.42	1.00	2.19	1.62	2.13	2.16	1.38	0.75	3.32	3.85	1.92	1.87	0.58	0.64	1.00	0.03	0.38	0.25	0.05	0.12	1.00
At4g26740	253930_at| ATS1__ATS1 (ARABIDOPSIS THALIANA SEED GENE 1); calcium ion binding|	0.99	1.40	1.00	1.83	0.08	0.15	0.26	1.00	0.50	0.43	0.26	0.48	0.30	0.13	1.00	2.09	2.13	1.62	1.00	0.87	0.49	0.08	1.00	0.02	0.05	0.02	0.01	0.18	0.09	1.00	0.25	2.01	1.38	1.40	0.06	0.93	2.05	1.72	0.59	0.73	1.46	0.25	1.00	2.29	1.44	1.97	1.27	1.56	0.75	2.29	2.14	2.04	1.99	0.48	2.16	1.00	0.04	0.06	0.08	0.03	0.07	1.00
At4g27140	253904_at| 2S seed storage protein 1 / 2S albumin storage protein / NWMU1-2S albumin 1|	0.27	1.13	1.00	0.76	0.18	0.21	0.31	1.00	0.85	0.90	0.81	0.77	0.72	0.46	1.00	1.55	1.73	1.18	1.00	0.50	0.48	0.18	1.00	0.04	0.08	0.08	0.00	0.14	0.20	1.00	0.34	1.92	1.84	1.48	0.30	1.21	2.35	2.33	1.07	1.24	1.76	0.51	1.00	2.02	0.04	1.99	0.04	0.15	1.12	2.39	4.36	2.68	2.98	1.38	2.25	1.00	0.11	0.14	0.19	0.11	0.18	1.00
At4g27150	253894_at| 2S seed storage protein 2 / 2S albumin storage protein / NWMU2-2S albumin 2|	0.14	1.71	1.00	2.08	0.49	0.59	0.65	1.00	1.06	1.11	0.83	0.85	0.90	0.53	1.00	2.61	2.56	1.85	1.00	1.26	0.94	0.49	1.00	0.24	0.44	0.22	0.00	0.47	0.21	1.00	0.32	1.88	2.63	2.49	1.78	1.82	4.00	2.25	0.64	0.80	1.61	0.63	1.00	2.43	0.22	1.43	0.33	0.57	1.06	2.47	4.06	3.02	3.62	1.13	1.74	1.00	0.31	0.39	0.72	0.27	0.59	1.00
At4g27160	253895_at| 2S seed storage protein 3 / 2S albumin storage protein / NWMU2-2S albumin 3|	0.17	1.40	1.00	1.00	0.40	0.42	0.41	1.00	0.95	0.94	0.80	0.79	0.74	0.55	1.00	1.53	1.80	1.39	1.00	0.54	0.54	0.40	1.00	0.11	0.30	0.28	0.01	0.66	0.75	1.00	0.67	1.69	1.51	1.31	0.25	0.92	1.93	1.83	0.99	1.17	1.39	0.88	1.00	1.80	0.87	1.58	0.88	1.29	0.95	3.31	4.04	2.86	3.20	1.38	1.83	1.00	0.15	0.16	0.41	0.12	0.32	1.00
At4g27170	253902_at| 2S seed storage protein 4 / 2S albumin storage protein / NWMU2-2S albumin 4|	0.12	2.60	1.00	3.31	0.70	0.88	0.92	1.00	0.71	0.54	0.46	0.49	0.51	0.26	1.00	6.56	8.16	5.48	1.00	1.77	1.87	0.70	1.00	0.27	0.87	0.57	0.00	0.18	0.15	1.00	0.50	2.80	4.08	3.63	0.22	2.22	6.27	3.66	0.97	1.23	5.09	1.41	1.00	3.80	0.24	1.51	0.34	0.23	1.53	7.35	12.20	4.17	5.32	1.58	4.00	1.00	0.09	0.11	0.17	0.06	0.11	1.00
At4g28520	253767_at| CRU3_CRC__CRU3 (CRUCIFERIN 3)|	0.22	0.42	1.00	0.27	0.26	0.18	0.13	1.00	0.89	0.62	1.11	0.61	0.78	1.32	1.00	1.07	1.25	0.95	1.00	0.08	0.19	0.26	1.00	0.05	0.49	0.33	0.01	1.40	1.19	1.00	0.62	1.09	1.01	0.74	0.63	0.73	1.31	1.32	0.80	0.87	2.45	0.74	1.00	1.23	1.11	1.35	1.21	0.82	0.68	1.55	2.60	1.92	1.72	1.46	3.02	1.00	0.10	0.10	0.42	0.06	0.27	1.00
At5g07190	250620_at| ATS3__ATS3 (ARABIDOPSIS THALIANA SEED GENE 3)|	0.47	0.30	1.00	2.64	0.21	0.29	0.43	1.00	0.83	0.68	0.74	0.67	0.52	0.24	1.00	3.21	2.41	1.45	1.00	0.79	0.45	0.21	1.00	0.06	0.19	0.15	0.08	0.27	0.19	1.00	0.30	3.90	1.13	1.65	0.36	0.99	3.42	2.92	0.40	0.62	3.87	0.25	1.00	6.36	1.00	5.72	1.61	0.32	1.52	1.62	4.19	3.89	3.71	1.09	4.95	1.00	0.11	0.09	0.13	0.05	0.11	1.00
At5g44120	249082_at| CRA1_CRU1__CRA1 (CRUCIFERINA); nutrient reservoir|	0.23	0.63	1.00	0.21	0.26	0.18	0.16	1.00	0.97	0.71	1.14	0.62	0.84	1.06	1.00	1.01	1.20	0.90	1.00	0.10	0.20	0.26	1.00	0.02	0.46	0.27	0.00	1.22	1.16	1.00	0.56	1.12	1.05	0.82	0.43	0.68	1.37	1.43	0.81	0.88	2.65	0.55	1.00	1.38	1.14	1.47	1.22	0.87	0.75	1.64	2.73	2.06	2.01	1.31	2.18	1.00	0.14	0.16	0.65	0.07	0.38	1.00
At5g55240	248096_at| caleosin-related family protein / embryo-specific protein, putative|	1.02	0.21	1.00	2.43	0.11	0.21	0.42	1.00	0.68	0.58	0.46	0.68	0.61	0.31	1.00	2.87	3.30	2.11	1.00	1.17	0.53	0.11	1.00	0.01	0.13	0.02	0.01	0.40	0.11	1.00	0.28	1.85	1.25	1.30	0.08	0.69	1.64	2.22	0.99	1.10	1.66	0.35	1.00	2.22	1.45	2.23	1.65	1.39	1.02	2.92	3.92	2.05	1.81	0.54	1.11	1.00	0.02	0.04	0.08	0.02	0.04	1.00
