UNIQID	NAME	1a/SEED_CTRL: RIKEN-YAMAUCHI1A, RIKEN-YAMAUCHI1B [ATGE_SEED_170]	1b/SEED_CTRL: RIKEN-YAMAUCHI2A, RIKEN-YAMAUCHI2B [ATGE_SEED_170]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_170]	6a/SEED_CTRL: RIKEN-NAKABAYASHI1A, RIKEN-NAKABAYASHI1B [ATGE_SEED_183]	6b/SEED_CTRL: RIKEN-NAKABAYASHI2A, RIKEN-NAKABAYASHI2B [ATGE_SEED_183]	6c/SEED_CTRL: RIKEN-NAKABAYASHI3A, RIKEN-NAKABAYASHI5B [ATGE_SEED_183]	6d/SEED_CTRL: RIKEN-NAKABAYASHI4A, RIKEN-NAKABAYASHI4B [ATGE_SEED_183]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_183]	3a/SEED_CTRL: RIKEN-LI1A, RIKEN-LI1B [ATGE_SEED_184]	3b/SEED_CTRL: RIKEN-LI2A, RIKEN-LI2B [ATGE_SEED_184]	3c/SEED_CTRL: RIKEN-LI3A, RIKEN-LI3B [ATGE_SEED_184]	3d/SEED_CTRL: RIKEN-LI4A, RIKEN-LI4B [ATGE_SEED_184]	3e/SEED_CTRL: RIKEN-LI5A, RIKEN-LI5B [ATGE_SEED_184]	3f/SEED_CTRL: RIKEN-LI6A, RIKEN-LI6B [ATGE_SEED_184]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_184]	2a/SEED_CTRL: RIKEN-PRESTON0A, RIKEN-PRESTON0B [ATGE_SEED_195]	2b/SEED_CTRL: RIKEN-PRESTON1A, RIKEN-PRESTON1B [ATGE_SEED_195]	2c/SEED_CTRL: RIKEN-PRESTON2A, RIKEN-PRESTON2B [ATGE_SEED_195]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_195]	10a/SEED_CTRL: 6hr_rep1, 6hr_rep2 [ATGE_SEED_196]	10b/SEED_CTRL: 12hr_rep1, 12hr_rep2 [ATGE_SEED_196]	10c/SEED_CTRL: 24hr_rep1, 24hr_rep2 [ATGE_SEED_196]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_196]	4a/SEED_CTRL: Penfield_1-1_endosperm-control_Rep1_ATH1, Penfield_1-2_endosperm-control_Rep2_ATH1, Penfield_1-3_endosperm-control_Rep3_ATH1 [ATGE_SEED_386]	4b/SEED_CTRL: Penfield_1-4_endosperm-ABA_Rep1_ATH1, Penfield_1-5_endosperm-ABA_Rep2_ATH1, Penfield_1-6_endosperm-ABA_Rep3_ATH1 [ATGE_SEED_386]	4c/SEED_CTRL: Penfield_1-7_endosperm-PAC_Rep1_ATH1, Penfield_1-8_endosperm-PAC_Rep2_ATH1, Penfield_1-9_endosperm-PAC_Rep3_ATH1 [ATGE_SEED_386]	4d/SEED_CTRL: Penfield_1-10_embryo-control_Rep1_ATH1, Penfield_1-11_embryo-control_Rep2_ATH1, Penfield_1-12_embryo-control_Rep3_ATH1 [ATGE_SEED_386]	4e/SEED_CTRL: Penfield_1-13_embryo-ABA_Rep1_ATH1, Penfield_1-14_embryo-ABA_Rep2_ATH1, Penfield_1-15_embryo-ABA_Rep3_ATH1 [ATGE_SEED_386]	4f/SEED_CTRL: Penfield_1-16_embryo-PAC_Rep1_ATH1, Penfield_1-17_embryo-PAC_Rep2_ATH1, Penfield_1-18_embryo-PAC_Rep3_ATH1 [ATGE_SEED_386]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_386]	8a/SEED_CTRL: Carrera Begua_1-1_lar_Rep1_ATH1, Carrera Begua_1-2_lar_Rep2_ATH1, Carrera Begua_1-3_lar_Rep3_ATH1 [ATGE_SEED_61]	8b/SEED_CTRL: Carrera Begua_1-4_ido_Rep1_ATH1, Carrera Begua_1-5_ido_Rep2_ATH1, Carrera Begua_1-6_ido_Rep3_ATH1 [ATGE_SEED_61]	8c/SEED_CTRL: Carrera Begua_1-7_aba_Rep1_ATH1, Carrera Begua_1-8_aba_Rep2_ATH1, Carrera Begua_1-9_aba_Rep3_ATH1 [ATGE_SEED_61]	8d/SEED_CTRL: Carrera Begua_1-10_abi1_Rep1_ATH1, Carrera Begua_1-11_abi1_Rep2_ATH1, Carrera Begua_1-12_abi1-Rep3_ATH1 [ATGE_SEED_61]	8e/SEED_CTRL: Carrera Begua_1-13_abi3_Rep1_ATH1, Carrera Begua_1-14_abi3_Rep2_ATH1, Carrera Begua_1-15_abi3_Rep3_ATH1 [ATGE_SEED_61]	8f/SEED_CTRL: Carrera Begua_1-16_fus_Rep1_ATH1, Carrera Begua_1-17_fus_Rep2_ATH1, Carrera Begua_1-18_fus_Rep3_ATH1 [ATGE_SEED_61]	8g/SEED_CTRL: Carrera Begua_1-19_rdo_Rep1_ATH1, Carrera Begua_1-20_rdo_Rep2_ATH1, Carrera Begua_1-21_rdo_Rep3_ATH1 [ATGE_SEED_61]	8h/SEED_CTRL: Carrera Begua_1-22_CVI-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-23_CVI-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-24_CVI-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8i/SEED_CTRL: Carrera Begua_1-25_CVI-24hr-ripening_Rep1_ATH1, Carrera Begua_1-26_CVI-24hr-ripening_Rep2_ATH1, Carrera Begua_1-27_CVI-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8j/SEED_CTRL: Carrera Begua_1-28_CVI-20hr-ripening_Rep1_ATH1, Carrera Begua_1-29_CVI-20hr-ripening_Rep2_ATH1, Carrera Begua_1-30_CVI-20hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	8k/SEED_CTRL: Carrera Begua_1-31_cts1-24hr-dormancy_Rep1_ATH1, Carrera Begua_1-32_cts1-24hr-dormancy_Rep2_ATH1, Carrera Begua_1-33_cts1-24hr-dormancy_Rep3_ATH1 [ATGE_SEED_61]	8l/SEED_CTRL: Carrera Begua_1-34_cts1-24hr-ripening_Rep1_ATH1, Carrera Begua_1-35_cts1-24hr-ripening_Rep2_ATH1, Carrera Begua_1-36_cts1-24hr-ripening_Rep3_ATH1 [ATGE_SEED_61]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_61]	5a/SEED_CTRL: Finch-Savage_1-1_PD24h_Rep1_ATH1, Finch-Savage_1-2_PD24h_Rep2_ATH1, Finch-Savage_1-3_PD24h_Rep3_ATH1, Finch-Savage_1-4_PD24h_Rep4_ATH1 [ATGE_SEED_69]	5b/SEED_CTRL: Finch-Savage_1-10_SD1_Rep2_ATH1, Finch-Savage_1-11_SD1_Rep3_ATH1, Finch-Savage_1-12_SD1_Rep4_ATH1, Finch-Savage_1-9_SD1_Rep1_ATH1 [ATGE_SEED_69]	5c/SEED_CTRL: Finch-Savage_1-13_PD48h_Rep1_ATH1, Finch-Savage_1-14_PD48h_Rep2_ATH1, Finch-Savage_1-15_PD48h_Rep3_ATH1, Finch-Savage_1-16_PD48h_Rep4_ATH1 [ATGE_SEED_69]	5d/SEED_CTRL: Finch-Savage_1-17_PD30d_Rep1_ATH1, Finch-Savage_1-18_PD30d_Rep2_ATH1, Finch-Savage_1-19_PD30d_Rep3_ATH1, Finch-Savage_1-20_PD30d_Rep4_ATH1 [ATGE_SEED_69]	5e/SEED_CTRL: Finch-Savage_1-21_SD2_Rep1_ATH1, Finch-Savage_1-22_SD2_Rep2_ATH1, Finch-Savage_1-23_SD2_Rep3_ATH1, Finch-Savage_1-24_SD2_Rep4_ATH1 [ATGE_SEED_69]	5f/SEED_CTRL: Finch-Savage_1-25_LIG_Rep1_ATH1, Finch-Savage_1-26_LIG_Rep2_ATH1, Finch-Savage_1-27_LIG_Rep3_ATH1, Finch-Savage_1-28_LIG_Rep4_ATH1 [ATGE_SEED_69]	5g/SEED_CTRL: Finch-Savage_1-29_PDD_Rep1_ATH1, Finch-Savage_1-30_PDD_Rep2_ATH1, Finch-Savage_1-31_PDD_Rep3_ATH1, Finch-Savage_1-32_PDD_Rep4_ATH1 [ATGE_SEED_69]	5h/SEED_CTRL: Finch-Savage_1-33_NDD_Rep1_ATH1, Finch-Savage_1-34_NDD_Rep2_ATH1, Finch-Savage_1-35_NDD_Rep3_ATH1, Finch-Savage_1-36_NDD_Rep4_ATH1 [ATGE_SEED_69]	5i/SEED_CTRL: Finch-Savage_1-37_PDL_Rep1_ATH1, Finch-Savage_1-38_PDL_Rep2_ATH1, Finch-Savage_1-39_PDL_Rep3_ATH1, Finch-Savage_1-40_PDL_Rep4_ATH1 [ATGE_SEED_69]	5j/SEED_CTRL: Finch-Savage_1-41_PDN_Rep1_ATH1, Finch-Savage_1-42_PDN_Rep2_ATH1, Finch-Savage_1-43_PDN_Rep3_ATH1, Finch-Savage_1-44_PDN_Rep4_ATH1 [ATGE_SEED_69]	5k/SEED_CTRL: Finch-Savage_1-45_PDLN_Rep1_ATH1, Finch-Savage_1-46_PDLN_Rep2_ATH1, Finch-Savage_1-47_PDLN_Rep3_ATH1, Finch-Savage_1-48_PDLN_Rep4_ATH1 [ATGE_SEED_69]	5l/SEED_CTRL: Finch-Savage_1-49_PDC_Rep1_ATH1, Finch-Savage_1-50_PDC_Rep2_ATH1, Finch-Savage_1-51_PDC_Rep3_ATH1, Finch-Savage_1-52_PDC_Rep4_ATH1 [ATGE_SEED_69]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_69]	7a/SEED_CTRL: bot0142, bot0314, bot0394 [ATGE_SEED_7]	7b/SEED_CTRL: bot0143, bot0315, bot0395 [ATGE_SEED_7]	7c/SEED_CTRL: bot0246, bot0247 [ATGE_SEED_7]	7d/SEED_CTRL: bot0256, bot0257 [ATGE_SEED_7]	7e/SEED_CTRL: bot0293, bot0294 [ATGE_SEED_7]	SEED_CTRL/SEED_CTRL: SEED_CTRL [ATGE_SEED_7]
At1g10470	263236_at| ARR4_ATRR1_IBC7__ARR4 (RESPONSE REGULATOR 4); transcription regulator/ two-component response regulator|	7.11	0.89	1.00	0.43	1.65	2.44	2.39	1.00	0.52	0.97	0.79	0.80	0.77	0.80	1.00	0.39	0.71	1.34	1.00	2.82	3.61	1.65	1.00	11.17	9.66	3.17	18.08	2.09	1.59	1.00	0.49	1.13	1.80	2.16	5.87	5.59	0.96	0.72	1.41	2.02	1.08	2.36	1.00	0.26	0.22	0.31	0.19	0.26	1.56	0.39	0.18	0.70	0.35	1.18	0.74	1.00	2.74	3.35	3.57	3.41	2.31	1.00
At1g19050	259466_at| ARR7__ARR7 (RESPONSE REGULATOR 7); transcription regulator/ two-component response regulator|	1.20	1.10	1.00	0.73	0.50	0.85	1.16	1.00	1.26	1.53	1.20	0.45	0.77	0.58	1.00	0.87	0.45	0.41	1.00	0.31	0.26	0.50	1.00	1.08	0.95	0.67	8.16	0.59	0.24	1.00	0.96	1.03	1.14	0.97	3.98	5.86	1.40	1.15	1.26	1.11	1.31	1.19	1.00	0.64	1.02	0.78	0.89	1.47	1.33	1.10	1.08	0.92	0.55	0.78	1.18	1.00	2.18	0.63	1.63	24.67	2.42	1.00
At1g27320	264448_at| AHK3__AHK3 (ARABIDOPSIS HISTIDINE KINASE 3)|	1.72	0.66	1.00	1.38	0.59	0.50	0.70	1.00	1.24	1.20	1.29	1.22	0.73	0.65	1.00	1.77	1.45	1.59	1.00	1.01	0.65	0.59	1.00	0.65	0.63	0.58	0.29	0.49	0.64	1.00	0.73	0.93	0.83	0.91	0.68	0.80	1.05	1.13	0.99	0.69	1.47	0.87	1.00	0.99	1.40	1.21	1.79	1.96	0.97	2.20	1.53	1.36	1.40	0.88	1.67	1.00	0.68	0.70	1.04	0.53	0.57	1.00
At1g59940	262915_at| ARR3__ARR3 (RESPONSE REGULATOR 3); transcription regulator/ two-component response regulator|	2.08	0.90	1.00	1.15	0.21	0.57	1.55	1.00	2.31	1.69	1.46	0.42	0.91	2.18	1.00	0.98	0.31	1.29	1.00	1.29	0.23	0.21	1.00	2.31	1.54	1.94	15.58	3.15	0.86	1.00	0.41	0.61	0.72	0.83	3.76	4.79	0.95	0.85	2.32	0.93	4.38	0.49	1.00	1.85	1.10	1.52	0.91	2.90	1.44	2.46	3.37	2.21	1.35	3.05	6.18	1.00	5.66	2.70	3.75	1.89	1.37	1.00
At1g67110	264470_at| CYP735A2__CYP735A2 (cytochrome P450, family 735, subfamily A, polypeptide 2); oxygen binding|	0.60	0.53	1.00	0.46	0.24	0.61	0.53	1.00	0.98	0.28	0.92	0.57	0.39	0.66	1.00	0.59	0.63	0.56	1.00	0.71	0.45	0.24	1.00	0.86	0.57	0.17	1.11	0.46	0.58	1.00	0.98	1.37	1.25	1.06	0.92	1.18	1.48	1.57	1.99	0.88	2.07	1.15	1.00	1.52	1.52	2.12	0.65	1.69	1.65	1.23	1.63	0.52	1.55	0.33	2.93	1.00	0.35	0.28	0.25	0.06	0.27	1.00
At1g68460	260240_at| ATIPT1__ATIPT1 (ISOPENTENYLTRANSFERASE 1); adenylate dimethylallyltransferase|	1.21	0.91	1.00	0.53	0.53	0.78	0.59	1.00	0.87	0.56	1.27	0.81	1.10	0.50	1.00	1.54	0.65	0.63	1.00	0.65	0.74	0.53	1.00	0.48	0.26	0.28	0.46	0.36	0.72	1.00	0.84	1.81	1.23	1.54	0.81	0.73	1.64	1.60	1.31	1.22	5.05	0.90	1.00	2.20	1.74	2.32	0.41	2.68	1.29	0.87	1.97	1.74	1.68	1.66	0.91	1.00	0.20	0.19	0.20	0.05	0.14	1.00
At1g74890	262212_at| ARR15__ARR15 (RESPONSE REGULATOR 15); transcription regulator|	0.26	0.89	1.00	0.53	0.86	1.01	1.18	1.00	1.41	0.41	1.00	0.75	0.84	1.11	1.00	0.27	0.44	0.88	1.00	0.51	1.32	0.86	1.00	0.33	0.64	0.68	1.00	1.10	0.41	1.00	1.41	0.96	0.61	0.56	1.51	2.00	1.21	1.54	3.21	1.93	0.74	1.03	1.00	1.77	2.74	2.25	1.64	3.36	2.23	0.61	1.51	0.56	0.92	0.17	2.77	1.00	0.36	0.11	0.17	0.55	0.27	1.00
At1g75450	261109_at| CKX5_ATCKX6__CKX5 (CYTOKININ OXIDASE 5); cytokinin dehydrogenase|	1.93	5.13	1.00	0.34	0.83	0.94	0.91	1.00	0.34	0.28	0.47	0.54	0.54	0.54	1.00	0.47	0.40	0.54	1.00	3.29	2.34	0.83	1.00	1.48	2.30	1.80	0.86	0.39	0.30	1.00	1.21	0.96	1.39	1.68	1.25	0.75	1.30	0.89	1.32	1.25	1.32	0.83	1.00	0.79	1.90	1.07	1.92	1.77	1.79	0.47	0.65	0.44	0.86	1.18	1.77	1.00	1.91	1.21	2.54	2.43	2.86	1.00
At2g01830	263599_at| WOL_AHK4_CRE1_WOL__WOL (CYTOKININ RESPONSE 1)|	1.23	0.54	1.00	0.75	0.71	0.84	0.87	1.00	1.29	1.27	0.93	1.08	1.05	0.94	1.00	0.98	0.72	0.71	1.00	0.69	0.92	0.71	1.00	0.28	0.86	0.79	0.62	0.64	0.69	1.00	0.90	0.85	0.92	1.13	0.90	1.08	0.97	1.23	1.15	1.16	1.70	0.87	1.00	1.25	1.44	1.44	1.42	0.90	1.43	0.63	1.17	1.26	1.33	1.71	1.37	1.00	0.36	0.50	0.31	0.28	0.47	1.00
At2g19500	265945_at| CKX2__CKX2 (CYTOKININ OXIDASE 2); cytokinin dehydrogenase|	0.80	1.02	1.00	0.95	0.42	0.65	0.59	1.00	0.50	0.84	0.89	0.63	0.59	0.95	1.00	0.75	0.69	0.45	1.00	0.57	0.63	0.42	1.00	0.61	0.64	0.48	0.43	0.50	0.63	1.00	0.71	2.02	1.46	1.50	1.08	1.45	2.37	1.48	1.49	0.89	4.77	0.93	1.00	2.16	2.09	2.89	0.67	2.72	1.39	0.88	2.33	1.35	2.20	3.39	2.23	1.00	0.55	0.58	0.59	0.22	0.67	1.00
At2g27760	266208_at| ATIPT2_IPPT__ATIPT2 (TRNA ISOPENTENYLTRANSFERASE)|	0.60	0.67	1.00	1.28	0.74	0.63	0.64	1.00	0.75	0.54	0.58	0.66	0.63	0.79	1.00	1.53	1.46	1.19	1.00	0.62	0.73	0.74	1.00	1.01	1.42	1.30	1.28	1.53	1.42	1.00	0.69	0.59	0.68	0.77	0.49	0.58	0.77	1.01	1.10	1.37	1.25	0.68	1.00	1.40	1.58	1.37	2.42	1.66	0.84	1.80	1.14	1.19	1.20	0.86	0.60	1.00	0.56	0.58	0.45	0.90	0.77	1.00
At3g57040	251665_at| ARR9_ATRR4__ARR9 (RESPONSE REACTOR 4); transcription regulator|	4.01	1.21	1.00	5.19	1.54	1.83	2.11	1.00	0.76	0.80	1.09	0.47	0.26	0.50	1.00	3.49	3.40	2.22	1.00	4.82	3.10	1.54	1.00	6.32	11.69	5.53	25.95	4.86	6.87	1.00	1.02	0.84	0.85	0.73	4.83	6.14	0.60	0.39	0.90	1.59	3.99	0.44	1.00	0.40	0.55	1.04	0.31	1.27	3.06	0.35	0.95	0.75	0.55	1.85	0.57	1.00	2.16	2.42	1.92	0.62	0.96	1.00
At3g63110	251154_at| ATIPT3__ATIPT3 (Arabidopsis thaliana isopentenyltransferase 3); transferase, transferring alkyl or aryl (other than methyl) groups|	1.68	1.61	1.00	0.89	1.23	1.29	1.19	1.00	0.62	0.56	1.42	1.48	0.83	1.52	1.00	0.20	0.41	0.21	1.00	0.56	0.20	1.23	1.00	0.83	1.39	1.02	1.64	0.43	0.49	1.00	2.11	3.14	1.54	1.55	0.92	0.64	0.95	1.38	2.31	1.29	10.32	2.18	1.00	1.64	2.14	1.40	0.87	2.18	0.48	0.83	1.43	0.43	1.11	0.89	1.23	1.00	0.78	0.49	1.20	1.27	1.21	1.00
At4g24650	254129_at| ATIPT4__ATIPT4 (Arabidopsis thaliana isopentenyltransferase 4)|	2.19	0.58	1.00	0.70	0.32	0.80	0.82	1.00	0.65	0.80	0.53	0.52	1.44	1.77	1.00	0.20	1.44	0.12	1.00	0.71	0.71	0.32	1.00	1.21	1.71	0.85	0.97	0.89	1.06	1.00	1.25	1.61	2.05	1.59	1.11	1.38	2.43	0.54	1.34	1.37	10.89	1.56	1.00	1.32	1.57	2.11	0.50	5.11	2.36	0.31	0.78	0.81	3.87	7.16	4.38	1.00	1.69	0.73	0.28	0.65	0.55	1.00
At4g29740	253696_at| CKX4__CKX4 (CYTOKININ OXIDASE 4); cytokinin dehydrogenase|	0.63	0.58	1.00	0.26	0.60	0.61	0.51	1.00	0.48	0.23	0.30	0.26	0.44	0.63	1.00	0.37	0.43	0.24	1.00	0.08	0.61	0.60	1.00	0.17	0.69	0.32	0.94	0.47	0.26	1.00	0.64	1.19	1.39	1.26	1.45	1.66	1.89	1.68	1.40	1.04	1.81	1.13	1.00	2.26	1.66	2.39	0.72	2.73	1.88	1.11	1.58	1.21	1.99	3.34	1.64	1.00	0.29	0.47	0.28	0.48	0.44	1.00
At5g35750	249693_at| AHK2__AHK2 (ARABIDOPSIS HISTIDINE KINASE 2)|	1.68	0.87	1.00	0.21	1.66	1.56	1.27	1.00	1.45	1.22	0.82	0.85	0.66	0.77	1.00	0.26	0.17	0.53	1.00	0.72	0.94	1.66	1.00	0.83	0.41	0.45	0.95	0.37	0.64	1.00	1.16	0.59	0.60	0.71	0.92	1.07	0.46	1.38	1.49	1.13	0.87	0.87	1.00	1.35	1.47	1.52	1.36	1.90	1.33	0.56	0.46	0.96	1.25	1.67	1.51	1.00	2.01	1.47	1.11	0.67	1.70	1.00
