#for letting users know that Sugimoto et al. genes with zero levels of expression are due to the fact that they aren't on the Qiagen V1.0 oligo array that Sugimoto et al. used (Chatfield et al., 2012; Lookup from 2009-07-29)
AtMg00640	244901_at
AtMg00650	244902_at
AtMg00660	244903_at
AtMg00670	244904_at
AtMg00680	244905_at
AtMg00690	244906_at
AtMg00710	244907_at
AtMg00720	244908_at
AtMg00740	244909_at
At2g07686	244910_s_at
AtMg00750	244910_s_at
AtMg00820	244911_at
At2g07783	244912_at
AtMg00830	244912_at
AtMg00840	244913_at
At2g07682	244914_at
AtMg00850	244914_at
At2g07682	244915_s_at
AtMg00860	244915_s_at
At2g07682	244916_at
AtMg00880	244916_at
AtMg00870	244917_at
AtMg00890	244918_at
At2g07768	244919_at
AtMg00960	244919_at
At2g07751	244920_s_at
AtMg00990	244920_s_at
AtMg01000	244921_s_at
At2g07674	244922_s_at
AtMg01010	244922_s_at
AtMg01020	244923_s_at
At2g07664	244924_at
AtMg01040	244924_at
AtMg00510	244925_at
At2g07712	244926_s_at
AtMg00520	244926_s_at
At2g07663	244927_at
At2g07776	244927_at
AtMg00530	244927_at
At2g07716	244928_s_at
AtMg00570	244928_s_at
AtMg00580	244929_at
At2g07809	244930_at
AtMg00600	244930_at
AtMg00630	244931_at
AtCg01060	244932_at
AtCg01070	244933_at
AtCg01080	244934_at
AtCg01090	244935_at
AtCg01100	244936_at
AtCg01110	244937_at
AtCg01120	244938_at
AtCg00065	244939_at
AtCg00905	244940_at
AtCg01230	244940_at
AtMg00010	244941_at
AtMg00050	244942_at
AtMg00070	244943_at
AtMg00080	244944_s_at
AtMg00090	244944_s_at
AtMg00110	244945_at
244946_at	244946_at
AtMg00130	244947_at
AtMg00140	244948_at
AtMg00150	244949_at
AtMg00160	244950_at
At2g07723	244951_s_at
AtMg00180	244951_s_at
At2g07799	244952_at
AtMg00260	244952_at
At2g07731	244953_s_at
AtMg00270	244953_s_at
At2g07732	244954_s_at
AtMg00280	244954_s_at
AtMg00320	244955_at
At2g07737	244956_s_at
AtMg00310	244956_s_at
AtMg00400	244957_at
AtMg00450	244958_at
At2g07708	244959_s_at
AtMg00490	244959_s_at
